"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-9-22","159.20","157.80","161.50","157.50","103.21M","0.06%"
"2025-9-19","159.10","158.90","162.80","156.60","138.83M","0.44%"
"2025-9-18","158.40","162.10","164.80","156.30","209.81M","-1.98%"
"2025-9-17","161.60","157.70","162.30","156.70","156.65M","5.28%"
"2025-9-16","153.50","154.00","156.80","152.50","111.09M","-0.71%"
"2025-9-15","154.60","150.40","156.80","150.10","146.19M","2.32%"
"2025-9-12","151.10","151.70","153.80","150.10","170.66M","5.44%"
"2025-9-11","143.30","140.90","146.50","139.10","174.46M","0.35%"
"2025-9-10","142.80","144.70","147.90","142.60","181.72M","0.63%"
"2025-9-9","141.90","138.60","142.80","138.00","181.12M","3.35%"
"2025-9-8","137.30","133.20","138.00","133.10","147.30M","4.17%"
"2025-9-5","131.80","128.50","133.00","128.10","127.45M","1.54%"
"2025-9-4","129.80","134.30","134.80","128.50","148.60M","-3.21%"
"2025-9-3","134.10","136.50","137.80","133.00","104.63M","-0.45%"
"2025-9-2","134.70","139.90","139.90","134.70","166.59M","-1.75%"
"2025-9-1","137.10","133.00","138.00","133.00","404.95M","18.50%"
"2025-8-29","115.70","116.80","119.00","115.70","110.43M","-0.09%"
"2025-8-28","115.80","119.10","119.30","115.60","171.96M","-4.69%"
"2025-8-27","121.50","121.30","124.30","121.00","114.21M","0.16%"
"2025-8-26","121.30","122.00","123.90","121.10","90.25M","-2.57%"
"2025-8-25","124.50","120.40","126.00","120.40","162.99M","5.51%"
"2025-8-22","118.00","115.50","118.30","115.30","73.60M","1.99%"
"2025-8-21","115.70","117.30","117.60","115.00","66.72M","-1.53%"
"2025-8-20","117.50","117.20","118.00","116.10","62.83M","-0.68%"
"2025-8-19","118.30","118.40","119.70","117.90","55.73M","-0.25%"
"2025-8-18","118.60","118.30","120.80","118.30","76.09M","0.42%"
"2025-8-15","118.10","119.30","119.80","117.80","110.54M","-3.04%"
"2025-8-14","121.80","124.80","125.20","121.00","83.92M","-1.54%"
"2025-8-13","123.70","120.00","123.80","119.20","150.50M","6.09%"
"2025-8-12","116.60","116.80","117.50","116.10","55.68M","-1.60%"
"2025-8-11","118.50","118.00","119.00","116.90","43.07M","1.89%"
"2025-8-8","116.30","118.60","118.60","116.10","60.37M","-2.43%"
"2025-8-7","119.20","119.10","119.80","117.90","66.85M","2.14%"
"2025-8-6","116.70","115.60","119.20","115.10","73.72M","0.60%"
"2025-8-5","116.00","116.10","116.30","114.60","52.37M","-0.17%"
"2025-8-4","116.20","115.50","116.70","114.70","50.52M","-0.60%"
"2025-8-1","116.90","117.80","119.30","116.70","75.03M","1.04%"
"2025-7-31","115.70","116.00","118.00","114.30","97.70M","-1.20%"
"2025-7-30","117.10","117.70","119.60","117.10","88.75M","-2.98%"
"2025-7-29","120.70","119.20","121.00","118.10","59.02M","0.08%"
"2025-7-28","120.60","119.50","121.70","118.90","69.22M","2.20%"
"2025-7-25","118.00","119.10","119.30","117.50","63.46M","-1.91%"
"2025-7-24","120.30","120.90","121.80","119.90","77.59M","-0.50%"
"2025-7-23","120.90","119.00","122.00","117.70","119.66M","2.46%"
"2025-7-22","118.00","117.70","118.20","116.00","63.35M","0.08%"
"2025-7-21","117.90","118.80","118.80","117.00","95.47M","1.81%"
"2025-7-18","115.80","115.30","116.30","114.40","83.11M","2.93%"
"2025-7-17","112.50","113.40","115.00","112.10","74.91M","-1.14%"
"2025-7-16","113.80","115.70","117.70","113.50","144.30M","0.26%"
"2025-7-15","113.50","106.50","113.70","106.50","195.49M","6.97%"
"2025-7-14","106.10","104.40","106.70","104.40","65.55M","0.95%"
"2025-7-11","105.10","103.30","106.90","103.30","115.98M","1.84%"
"2025-7-10","103.20","102.00","103.80","101.80","98.86M","0.29%"
"2025-7-9","102.90","106.10","106.30","102.70","134.14M","-3.83%"
"2025-7-8","107.00","104.70","107.60","104.20","81.93M","1.52%"
"2025-7-7","105.40","104.00","105.60","102.30","81.22M","0.29%"
"2025-7-4","105.10","105.20","106.40","103.10","106.81M","-1.04%"
